Quarter	Date	Sales	PDI
1	64 	37.0 	109 
2	64 	33.5 	115 
3	64 	30.8 	113 
4	64 	37.9 	116 
1	65 	37.4 	118 
2	65 	31.6 	120 
3	65 	34.0 	122 
4	65 	38.1 	124 
1	66 	40.0 	126 
2	66 	35.0 	128 
3	66 	34.9 	130 
4	66 	40.2 	132 
1	67 	41.9 	133 
2	67 	34.7 	135 
3	67 	38.8 	138 
4	67 	43.7 	140 
1	68 	44.2 	143 
2	68 	40.4 	147 
3	68 	38.4 	148 
4	68 	45.4 	151 
1	69 	44.9 	153 
2	69 	41.6 	156 
3	69 	44.0 	160 
4	69 	48.1 	163 
1	70 	49.7 	166 
2	70 	43.9 	171 
3	70 	41.6 	174 
4	70 	51.0 	175 
1	71 	52.0 	180 
2	71 	46.2 	184 
3	71 	47.1 	187 
4	71 	52.7 	189 
1	72 	52.2 	191 
2	72 	47.0 	193 
3	72 	47.8 	194 
4	72 	52.8 	196 
1	73 	54.1 	199 
2	73 	49.5 	201 
3	73 	49.5 	202 
4	73 	54.3 	204
